subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,4570,23880,703,15,0.7765
20j_5m,instance_10.csv,4084,24332,592,14,0.8121
20j_5m,instance_2.csv,5780,27680,821,17,0.9381
20j_5m,instance_3.csv,5094,27442,784,15,0.6515
20j_5m,instance_4.csv,5316,27529,701,15,0.8527
20j_5m,instance_5.csv,4618,23445,655,14,0.7768
20j_5m,instance_6.csv,3593,23144,619,12,0.8545
20j_5m,instance_7.csv,4567,29254,688,16,0.8975
20j_5m,instance_8.csv,4097,24732,602,13,0.8613
20j_5m,instance_9.csv,4808,29272,675,14,0.7187
