subdir,instance,TT,TWT,T_max,NT,time
20j_5m,instance_1.csv,5661,20263,984,14,0.5598
20j_5m,instance_10.csv,5278,20112,753,16,0.8195
20j_5m,instance_2.csv,5969,25238,877,17,0.5278
20j_5m,instance_3.csv,5393,24026,747,17,0.7257
20j_5m,instance_4.csv,5762,24695,931,15,0.5553
20j_5m,instance_5.csv,5030,18781,956,14,0.561
20j_5m,instance_6.csv,4125,19235,799,13,0.6954
20j_5m,instance_7.csv,5218,24899,813,15,0.5289
20j_5m,instance_8.csv,4647,20158,746,12,0.75
20j_5m,instance_9.csv,5584,23659,790,14,0.5904
